1;;;Secties;Sections;Abschnitte;Sections
1;A;-;Landbouw, bosbouw en visserij;Agriculture, sylviculture et p�che;Land- und Forstwirtschaft, Fischerei;Agriculture, forestry and fishing
1;B;-;Winning van delfstoffen;Industries extractives;Bergbau und Gewinnung von Steinen und Erden;Mining and quarrying
1;C;-;Industrie;Industrie manufacturi�re;Verarbeitendes Gewerbe/Herstellung von Waren;Manufacturing
1;D;-;Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht;Production et distribution d'�lectricit�, de gaz, de vapeur et d'air conditionn�;Energieversorgung;Electricity, gas, steam and air conditioning supply
1;E;-;"Distributie van water; afval- en afvalwaterbeheer en sanering";"Production et distribution d'eau; assainissement, gestion des d�chets et d�pollution
";"Wasserversorgung; Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen";"Water supply; sewerage; waste management and remediation activities"
1;F;-;Bouwnijverheid;Construction;Baugewerbe/Bau;"Construction
"
1;G;-;"Groot- en detailhandel; reparatie van auto's en motorfietsen";"Commerce; r�paration de v�hicules automobiles et de motocycles";"Handel; Instandhaltung und Reparatur von Kraftfahrzeugen";"Wholesale and retail trade; repair of motor vehicles and motorcycles"
1;H;-;Vervoer en opslag;Transports et entreposage;Verkehr und Lagerei;Transportation and storage
1;I;-;Verschaffen van accommodatie en maaltijden;H�bergement et restauration;Gastgewerbe/Beherbergung und Gastronomie;Accommodation and food service activities
1;J;-;Informatie en communicatie;Information et communication;"Information und Kommunikation
";Information and communication
1;K;-;Financi�le activiteiten en verzekeringen;"Activit�s financi�res et d'assurance
";Erbringung von Finanz- und Versicherungsdienstleistungen;Financial and insurance activities
1;L;-;Exploitatie van en handel in onroerend goed;Activit�s immobili�res;Grundst�cks- und Wohnungswesen;Real estate activities
1;M;-;Vrije beroepen en wetenschappelijke en technische activiteiten;Activit�s sp�cialis�es, scientifiques et techniques;Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;Professional, scientific and technical activities
1;N;-;Administratieve en ondersteunende diensten;Activit�s de services administratifs et de soutien;Erbringung von sonstigen wirtschaftlichen Dienstleistungen;Administrative and support service activities
1;O;-;"Openbaar bestuur en defensie; verplichte sociale verzekeringen";Administration publique;"�ffentliche Verwaltung, Verteidigung; Sozialversicherung";"Public administration and defence; compulsory social security"
1;P;-;Onderwijs;Enseignement;Erziehung und Unterricht;Education
1;Q;-;Menselijke gezondheidszorg en maatschappelijke dienstverlening;Sant� humaine et action sociale;Gesundheits- und Sozialwesen;Human health and social work activities
1;R;-;Kunst, amusement en recreatie;Arts, spectacles et activit�s r�cr�atives;Kunst, Unterhaltung und Erholung;Arts, entertainment and recreation
1;S;-;Overige diensten;Autres activit�s de services;Erbringung von sonstigen Dienstleistungen;Other service activities
1;T;-;"Huishoudens als werkgever; niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik";"Activit�s des m�nages en tant qu'employeurs; activit�s indiff�renci�es des m�nages en tant que producteurs de biens et services pour usage propre";"Private Haushalte mit Hauspersonal; Herstellung von Waren und Erbringung von Dienstleistungen durch private Haushalte f�r den Eigenbedarf ohne ausgepr�gten Schwerpunkt";"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use"
1;U;-;Extraterritoriale organisaties en lichamen;Activit�s extra-territoriales;Exterritoriale Organisationen und K�rperschaften;Activities of extraterritorial organisations and bodies
2;;;Afdelingen;Divisions;Abteilungen;Divisions
